Year,Extroversion,Text Recipients,Sleep Hours,Handedness,Sleep Position,Piercings
1,3,4,7.5,Right-handed,On your back,0
1,6,3,7,Right-handed,On your left side,0
1,3,7,8,Right-handed,On your right side,0
1,8,16,7,Right-handed,On your left side,0
2,4,10,7,Right-handed,On your right side,0
1,5,5,8,Right-handed,On your back,2
3,7,15,7.5,Right-handed,On your left side,0
3,7,3,6.5,Right-handed,On your right side,0
1,8,7,8,Right-handed,On your stomach,8
1,7,12,7,Right-handed,On your right side,0
1,4,3,6,Right-handed,On your right side,0
1,8,15,7,Right-handed,On your left side,1
2,8,4,6,Right-handed,On your back,0
1,2,2,5,Right-handed,On your right side,6
1,7,10,8,Right-handed,On your left side,0
1,7,8,6,Right-handed,On your right side,2
1,8,35,8,Right-handed,On your stomach,0
1,7,2,7,Right-handed,On your back,0
1,6,15,6,Right-handed,On your stomach,4
1,7,4,7,Left-handed,On your right side,2
2,7,10,6,Right-handed,On your right side,1
1,2,3,8,Right-handed,On your back,0
3,3,1,7,Right-handed,On your right side,0
2,6,5,8,Right-handed,On your stomach,0
3,5,7,8,Left-handed,On your right side,6
1,4,3,5,Right-handed,On your right side,4
2,2,3,8,Right-handed,On your back,0
3,7,6,8,Right-handed,On your right side,3
3,5,5,5,Right-handed,On your right side,0
1,8,6,7,Right-handed,On your stomach,2
1,3,6,7,Right-handed,On your left side,2
1,7,10,8,Right-handed,On your stomach,0
2,5,7,6,Right-handed,On your back,5
1,6,5,7,Right-handed,On your back,0
3,6,4,6.5,Right-handed,On your left side,2
1,6,9,9,Right-handed,On your stomach,1
1,4,5,7,Right-handed,On your left side,0
2,5,4,7,Right-handed,On your left side,8
3,3,5,6,Right-handed,On your right side,2
2,3,10,7,Right-handed,On your back,0
1,5,3,6,Right-handed,On your back,0
2,4,5,9,Left-handed,On your stomach,0
1,8,6,8,Right-handed,On your back,1
1,8,10,7,Right-handed,On your back,0
3,5,5,8,Right-handed,On your left side,4
1,4,8,6,Right-handed,On your right side,0
1,6,3,7,Right-handed,On your right side,0
1,4,3,8,Right-handed,On your left side,0
5,2,3,7,Right-handed,On your back,3
3,6,4,7,Right-handed,On your right side,0
3,7,2,7,Right-handed,On your right side,1
4,3,3,7,Right-handed,On your left side,2
2,3,2,7.5,Right-handed,On your left side,0
1,8,10,7,Right-handed,On your left side,0
2,4,4,7,Right-handed,On your left side,5
2,4,2,8,Right-handed,On your right side,5
3,5,5,8,Right-handed,On your back,0
1,8,20,6,Right-handed,On your right side,0
1,5,7,7,Right-handed,On your back,0
4,3,3,8,Right-handed,On your left side,2
2,9,6,7,Right-handed,On your right side,3
1,7,3,7,Right-handed,On your right side,1
1,4,5,7,Right-handed,On your back,0
1,5,30,7,Right-handed,On your right side,0
1,10,50,6,Right-handed,On your stomach,0
1,2,4,8,Right-handed,On your back,0
2,5,4,5,Right-handed,On your left side,2
3,7,1,7,Right-handed,On your right side,0
2,8,5,7,Right-handed,On your left side,11
2,4,3,6,Right-handed,On your left side,10
2,7,4,6,Right-handed,On your left side,1
2,7,2,6,Right-handed,On your right side,2
3,3,3,9,Right-handed,On your right side,0
1,6,2,7,Right-handed,On your right side,0
1,4,3,8,Right-handed,On your right side,0
2,8,8,5.5,Right-handed,On your back,0
3,7,7,8,Right-handed,On your back,2
2,1,3,7,Right-handed,On your right side,6
1,9,6,8,Left-handed,On your left side,2
4,7,6,5,Right-handed,On your stomach,2
3,5,3,6,Right-handed,On your right side,0
1,5,5,8,Right-handed,On your left side,1
1,4,3,6,Right-handed,On your stomach,0
4,2,2,6,Right-handed,On your right side,6
2,3,3,6,Right-handed,On your stomach,2
2,4,6,7,Right-handed,On your stomach,0
1,8,10,8,Right-handed,On your left side,0
2,6,3,7,Right-handed,On your right side,0
5,5,4,7,Right-handed,On your left side,0
3,7,5,8,Right-handed,On your right side,3
2,7,4,7,Right-handed,On your stomach,2
2,4,6,9,Right-handed,On your stomach,4
3,3,2,7,Right-handed,On your right side,0
4,5,15,8,Right-handed,On your back,8
2,4,4,8,Right-handed,On your back,0
1,5,3,6,Right-handed,On your right side,1
1,5,5,7,Right-handed,On your left side,5
4,5,10,7,Right-handed,On your right side,2
1,9,10,7,Right-handed,On your left side,0
1,7,5,6,Right-handed,On your right side,0
1,4,6,8,Right-handed,On your right side,0
1,9,20,8,Right-handed,On your right side,0
1,9,11,8,Right-handed,On your stomach,2
1,7,4,7,Right-handed,On your back,3
1,7,8,8,Right-handed,On your left side,5
3,3,1,6,Right-handed,On your right side,1
3,5,3,6,Right-handed,On your back,2
1,7,20,6,Right-handed,On your stomach,6
1,7,7,7,Right-handed,On your back,0
3,4,4,8,Right-handed,On your right side,3
1,8,6,7,Right-handed,On your right side,0
3,6,4,8,Right-handed,On your left side,0
2,8,25,7,Right-handed,On your back,0
3,5,3,6,Right-handed,On your left side,4
1,3,5,7.5,Right-handed,On your left side,0
2,6,3,7,Right-handed,On your right side,0
3,6,3,5,Right-handed,On your right side,0
